"A"	"B"	"type"
"ATP6AP1"	"NUDC"	"Negative Genetic"
"ATP6AP1"	"PSMD12"	"Negative Genetic"
"ATP6AP1"	"RBM25"	"Negative Genetic"
"ATP6AP1"	"SCYL1"	"Negative Genetic"
"ATP6AP1"	"VPS72"	"Negative Genetic"
"ATP6AP1"	"WDR7"	"Negative Genetic"
"ATP6V1G1"	"CMAS"	"Negative Genetic"
"ATP6V1G1"	"COG3"	"Negative Genetic"
"ATP6V1G1"	"EXOSC9"	"Positive Genetic"
"ATP6V1G1"	"FDPS"	"Negative Genetic"
"ATP6V1G1"	"MBTPS2"	"Negative Genetic"
"ATP6V1G1"	"NUDC"	"Negative Genetic"
"ATP6V1G1"	"SLC35A1"	"Negative Genetic"
"ATP6V1G1"	"SNRPG"	"Negative Genetic"
"ATP6V1G1"	"SRSF7"	"Positive Genetic"
"ATP6V1G1"	"UBA2"	"Positive Genetic"
"ATP6V1G1"	"VPS72"	"Negative Genetic"
"ATP6V1G1"	"WDR7"	"Negative Genetic"
"ATP6V1G1"	"ZNF511"	"Positive Genetic"
"ATXN10"	"AURKA"	"Negative Genetic"
"ATXN10"	"CDK12"	"Positive Genetic"
"ATXN10"	"GINS4"	"Negative Genetic"
"ATXN10"	"MED14"	"Negative Genetic"
"ATXN10"	"MTERF3"	"Positive Genetic"
"ATXN10"	"UBA2"	"Positive Genetic"
"AURKA"	"AURKA"	"Positive Genetic"
"AURKA"	"C14orf178"	"Negative Genetic"
"AURKA"	"CENPK"	"Negative Genetic"
"AURKA"	"COPA"	"Positive Genetic"
"AURKA"	"COPS4"	"Negative Genetic"
"AURKA"	"CTNNBL1"	"Negative Genetic"
"AURKA"	"EMC1"	"Negative Genetic"
"AURKA"	"GTF2E1"	"Positive Genetic"
"AURKA"	"CEP295"	"Negative Genetic"
"AURKA"	"MBTPS2"	"Negative Genetic"
"AURKA"	"PITRM1"	"Negative Genetic"
"AURKA"	"PMF1"	"Negative Genetic"
"AURKA"	"PNISR"	"Negative Genetic"
"AURKA"	"PTTG1"	"Negative Genetic"
"AURKA"	"RPL35"	"Negative Genetic"
"AURKA"	"SRFBP1"	"Negative Genetic"
"AURKA"	"TCOF1"	"Negative Genetic"
"AURKA"	"UBA2"	"Negative Genetic"
"AURKA"	"ZNF598"	"Positive Genetic"
"BDP1"	"BDP1"	"Negative Genetic"
"BDP1"	"BNIP1"	"Positive Genetic"
"BDP1"	"C9orf114"	"Positive Genetic"
"BDP1"	"DHX37"	"Positive Genetic"
"BDP1"	"EIF3C"	"Positive Genetic"
"BDP1"	"EIF3H"	"Positive Genetic"
"BDP1"	"EMG1"	"Positive Genetic"
"BDP1"	"FDPS"	"Negative Genetic"
"BDP1"	"GEMIN2"	"Positive Genetic"
"BDP1"	"GEMIN4"	"Positive Genetic"
"BDP1"	"MFAP1"	"Positive Genetic"
"BDP1"	"PMF1"	"Positive Genetic"
"BDP1"	"PSMD1"	"Positive Genetic"
"BDP1"	"PSMD12"	"Positive Genetic"
"BDP1"	"RBM17"	"Positive Genetic"
"BDP1"	"RPL11"	"Positive Genetic"
"BDP1"	"RPL24"	"Positive Genetic"
"BDP1"	"RPLP2"	"Positive Genetic"
"BDP1"	"SNRPD3"	"Positive Genetic"
"BDP1"	"UBA2"	"Positive Genetic"
"BDP1"	"ZNF574"	"Negative Genetic"
"BNIP1"	"CAMLG"	"Negative Genetic"
"BNIP1"	"CTNNBL1"	"Positive Genetic"
"BNIP1"	"EXOSC2"	"Negative Genetic"
"BNIP1"	"FDPS"	"Negative Genetic"
"BNIP1"	"LEO1"	"Negative Genetic"
"BNIP1"	"MED23"	"Negative Genetic"
"BNIP1"	"PPP2R1A"	"Negative Genetic"
"BNIP1"	"RINT1"	"Negative Genetic"
"BNIP1"	"SNAPC1"	"Positive Genetic"
"BNIP1"	"SSB"	"Negative Genetic"
"BNIP1"	"TAF2"	"Negative Genetic"
"BNIP1"	"TIMELESS"	"Negative Genetic"
"BNIP1"	"VPS4A"	"Negative Genetic"
"BNIP1"	"WDR61"	"Negative Genetic"
"BNIP1"	"WDR7"	"Negative Genetic"
"BOD1L1"	"CENPK"	"Negative Genetic"
"BOD1L1"	"CENPM"	"Negative Genetic"
"BOD1L1"	"CEP63"	"Negative Genetic"
"BOD1L1"	"CIT"	"Positive Genetic"
"BOD1L1"	"COPS4"	"Negative Genetic"
"BOD1L1"	"DUT"	"Negative Genetic"
"BOD1L1"	"FDPS"	"Negative Genetic"
"BOD1L1"	"GFER"	"Negative Genetic"
"BOD1L1"	"HUS1"	"Negative Genetic"
"BOD1L1"	"LEO1"	"Negative Genetic"
"BOD1L1"	"MBTPS2"	"Negative Genetic"
"BOD1L1"	"MCM3AP"	"Negative Genetic"
"BOD1L1"	"MTBP"	"Positive Genetic"
"BOD1L1"	"MZT1"	"Negative Genetic"
"BOD1L1"	"NDUFB1"	"Negative Genetic"
"BOD1L1"	"NUDC"	"Negative Genetic"
"BOD1L1"	"PDCD7"	"Negative Genetic"
"BOD1L1"	"PSMD1"	"Negative Genetic"
"BOD1L1"	"RPA3"	"Negative Genetic"
"BOD1L1"	"SCYL1"	"Negative Genetic"
"BOD1L1"	"SEC22B"	"Negative Genetic"
"BOD1L1"	"WDR61"	"Negative Genetic"
"BOD1L1"	"ZMAT5"	"Negative Genetic"
"BOD1L1"	"ZNF830"	"Negative Genetic"
"BTF3"	"BTF3"	"Negative Genetic"
"BTF3"	"C14orf178"	"Positive Genetic"
"BTF3"	"CACTIN"	"Positive Genetic"
"BTF3"	"CAPZB"	"Positive Genetic"
"BTF3"	"CARS"	"Positive Genetic"
"BTF3"	"CDC73"	"Positive Genetic"
"BTF3"	"CKAP5"	"Positive Genetic"
"BTF3"	"CMAS"	"Negative Genetic"
"BTF3"	"CNOT1"	"Positive Genetic"
"BTF3"	"EIF3C"	"Positive Genetic"
"BTF3"	"ERH"	"Positive Genetic"
"BTF3"	"EXOSC4"	"Positive Genetic"
"BTF3"	"GOLT1B"	"Positive Genetic"
"BTF3"	"GTF2E1"	"Positive Genetic"
"BTF3"	"KCTD10"	"Negative Genetic"
"BTF3"	"KIF11"	"Positive Genetic"
"BTF3"	"LONP1"	"Positive Genetic"
"BTF3"	"MTOR"	"Positive Genetic"
"BTF3"	"NDUFA2"	"Positive Genetic"
"BTF3"	"NUTF2"	"Positive Genetic"
"BTF3"	"PNN"	"Positive Genetic"
"BTF3"	"PPP2R2A"	"Positive Genetic"
"BTF3"	"PSMD12"	"Positive Genetic"
"BTF3"	"RBM22"	"Positive Genetic"
"BTF3"	"RINT1"	"Positive Genetic"
"BTF3"	"RPL10"	"Positive Genetic"
"BTF3"	"SEC22B"	"Positive Genetic"
"BTF3"	"SEH1L"	"Positive Genetic"
"BTF3"	"SNIP1"	"Positive Genetic"
"BTF3"	"SNRNP70"	"Positive Genetic"
"BTF3"	"SNRPB"	"Positive Genetic"
"BTF3"	"SRP19"	"Positive Genetic"
"BTF3"	"TIMELESS"	"Positive Genetic"
"BTF3"	"USE1"	"Positive Genetic"
"BTF3"	"USMG5"	"Positive Genetic"
"BTF3"	"WDR70"	"Positive Genetic"
"BUB1B"	"CENPK"	"Negative Genetic"
"BUB1B"	"CENPM"	"Negative Genetic"
"BUB1B"	"CEP63"	"Positive Genetic"
"BUB1B"	"EXOSC2"	"Negative Genetic"
"BUB1B"	"CEP295"	"Negative Genetic"
"BUB1B"	"LEO1"	"Negative Genetic"
"BUB1B"	"NAA50"	"Negative Genetic"
"BUB1B"	"NOL8"	"Positive Genetic"
"BUB1B"	"PPP2R1A"	"Negative Genetic"
"BUB1B"	"PTTG1"	"Negative Genetic"
"BUB1B"	"SCYL1"	"Negative Genetic"
"BUB1B"	"SKA3"	"Negative Genetic"
"BUB1B"	"TUBB"	"Negative Genetic"
"BUB1B"	"WDR61"	"Negative Genetic"
"BUB1B"	"ZWINT"	"Negative Genetic"
"BUB3"	"BUB3"	"Negative Genetic"
"BUB3"	"CENPK"	"Negative Genetic"
"BUB3"	"CENPM"	"Negative Genetic"
"BUB3"	"ZWINT"	"Negative Genetic"
"C11orf30"	"MED23"	"Negative Genetic"
"C11orf30"	"MZT1"	"Positive Genetic"
"C11orf30"	"PPIE"	"Positive Genetic"
"C14orf178"	"C14orf178"	"Negative Genetic"
"C14orf178"	"CCNK"	"Positive Genetic"
"C14orf178"	"CDK12"	"Positive Genetic"
"C14orf178"	"GTF2E1"	"Positive Genetic"
"C14orf178"	"INTS5"	"Negative Genetic"
"C14orf178"	"KDM1A"	"Positive Genetic"
"C14orf178"	"MAPKAP1"	"Negative Genetic"
"C14orf178"	"NDUFA2"	"Positive Genetic"
"C14orf178"	"PAXBP1"	"Negative Genetic"
"C14orf178"	"PELO"	"Negative Genetic"
"C14orf178"	"POLR3B"	"Positive Genetic"
"C14orf178"	"PRMT5"	"Positive Genetic"
"C14orf178"	"RPL10"	"Positive Genetic"
"C14orf178"	"RPL13"	"Positive Genetic"
"C14orf178"	"SRP19"	"Positive Genetic"
"C14orf178"	"WDR70"	"Positive Genetic"
"C14orf178"	"WDR77"	"Positive Genetic"
"C14orf2"	"C14orf2"	"Positive Genetic"
"C14orf2"	"MINOS1"	"Positive Genetic"
"C14orf2"	"MRPS5"	"Positive Genetic"
"C14orf2"	"NDUFB1"	"Positive Genetic"
"C14orf2"	"RPL30"	"Negative Genetic"
"C14orf2"	"SNAPC1"	"Positive Genetic"
"C14orf2"	"UQCRB"	"Positive Genetic"
"C6orf203"	"C6orf203"	"Negative Genetic"
"C6orf203"	"CDK1"	"Negative Genetic"
"C6orf203"	"INTS3"	"Negative Genetic"
"C6orf203"	"MED17"	"Negative Genetic"
"C6orf203"	"MED23"	"Negative Genetic"
"C6orf203"	"MRPL19"	"Negative Genetic"
"C6orf203"	"MRPS14"	"Negative Genetic"
"C6orf203"	"NOL8"	"Positive Genetic"
"C9orf114"	"C9orf114"	"Negative Genetic"
"C9orf114"	"CENPP"	"Negative Genetic"
"C9orf114"	"DCTN4"	"Negative Genetic"
"C9orf114"	"EIF3H"	"Positive Genetic"
"C9orf114"	"EIF4G2"	"Positive Genetic"
"C9orf114"	"LEO1"	"Negative Genetic"
"C9orf114"	"MED28"	"Positive Genetic"
"C9orf114"	"RRM1"	"Positive Genetic"
"C9orf114"	"SNAPC1"	"Positive Genetic"
"C9orf114"	"TCOF1"	"Negative Genetic"
"C9orf114"	"UBA2"	"Positive Genetic"
"CACTIN"	"CACTIN"	"Negative Genetic"
"CACTIN"	"COPS2"	"Positive Genetic"
"CACTIN"	"EXOSC4"	"Positive Genetic"
"CACTIN"	"GTF2E1"	"Positive Genetic"
"CACTIN"	"HUS1"	"Negative Genetic"
"CACTIN"	"KIF11"	"Positive Genetic"
"CACTIN"	"LEO1"	"Negative Genetic"
"CACTIN"	"MAPKAP1"	"Negative Genetic"
"CACTIN"	"MRPL22"	"Negative Genetic"
"CACTIN"	"PELO"	"Negative Genetic"
"CACTIN"	"PMF1"	"Positive Genetic"
"CACTIN"	"POLD3"	"Negative Genetic"
"CACTIN"	"PRPF18"	"Negative Genetic"
"CACTIN"	"PSMD6"	"Positive Genetic"
"CACTIN"	"TIMELESS"	"Negative Genetic"
"CACTIN"	"UBA2"	"Positive Genetic"
"CACTIN"	"XPO1"	"Positive Genetic"
"CAMLG"	"CAMLG"	"Negative Genetic"
"CAMLG"	"EEF1G"	"Positive Genetic"
"CAMLG"	"FIP1L1"	"Negative Genetic"
"CAMLG"	"INTS5"	"Negative Genetic"
"CAMLG"	"KIF14"	"Negative Genetic"
"CAMLG"	"LEO1"	"Negative Genetic"
"CAMLG"	"MBTPS2"	"Negative Genetic"
"CAMLG"	"NUDC"	"Negative Genetic"
"CAMLG"	"PDRG1"	"Positive Genetic"
"CAMLG"	"POLR3A"	"Negative Genetic"
"CAMLG"	"SRP19"	"Negative Genetic"
"CAMLG"	"WDR7"	"Negative Genetic"
"CAPZB"	"CEP152"	"Negative Genetic"
"CAPZB"	"CTNNBL1"	"Positive Genetic"
"CAPZB"	"CEP295"	"Negative Genetic"
"CAPZB"	"LEO1"	"Negative Genetic"
"CAPZB"	"MBTPS2"	"Negative Genetic"
"CAPZB"	"PAFAH1B1"	"Negative Genetic"
"CAPZB"	"PSMC1"	"Positive Genetic"
"CAPZB"	"RPL36A"	"Negative Genetic"
"CAPZB"	"TAF2"	"Negative Genetic"
"CAPZB"	"UBA2"	"Positive Genetic"
"CAPZB"	"XRN2"	"Negative Genetic"
"CAPZB"	"ZNF574"	"Negative Genetic"
"CARS"	"CARS"	"Negative Genetic"
"CARS"	"CTNNBL1"	"Positive Genetic"
"CARS"	"GTF2E1"	"Positive Genetic"
"CARS"	"PSMD1"	"Positive Genetic"
"CARS"	"PSMD12"	"Positive Genetic"
"CARS"	"RPL13"	"Positive Genetic"
"CARS"	"SNAPC1"	"Positive Genetic"
"CARS"	"UBA2"	"Positive Genetic"
"CARS"	"XRN2"	"Negative Genetic"
"CARS2"	"DONSON"	"Negative Genetic"
"CARS2"	"FH"	"Positive Genetic"
"CARS2"	"LEO1"	"Positive Genetic"
"CARS2"	"MED14"	"Negative Genetic"
"CARS2"	"PGK1"	"Negative Genetic"
"CARS2"	"PSMB6"	"Negative Genetic"
"CARS2"	"PSMD4"	"Negative Genetic"
"CARS2"	"SDHC"	"Positive Genetic"
"CARS2"	"TRA2B"	"Positive Genetic"
"CCDC84"	"EXOSC9"	"Positive Genetic"
"CCDC84"	"GEMIN2"	"Negative Genetic"
"CCDC84"	"METTL17"	"Negative Genetic"
"CCDC84"	"PDCD7"	"Negative Genetic"
"CCDC84"	"RAE1"	"Negative Genetic"
"CCDC84"	"RBM17"	"Negative Genetic"
"CCDC84"	"SGOL1"	"Negative Genetic"
"CCDC84"	"SKA3"	"Negative Genetic"
"CCDC84"	"SMNDC1"	"Negative Genetic"
"CCDC84"	"SNRPD3"	"Negative Genetic"
"CCDC84"	"ZMAT5"	"Negative Genetic"
"CCNK"	"CCNK"	"Negative Genetic"
"CCNK"	"CHMP2A"	"Negative Genetic"
"CCNK"	"FDPS"	"Negative Genetic"
"CCNK"	"INTS5"	"Positive Genetic"
"CCNK"	"LEO1"	"Negative Genetic"
"CCNK"	"LIAS"	"Positive Genetic"
"CCNK"	"MED23"	"Negative Genetic"
"CCNK"	"MRPL32"	"Positive Genetic"
"CCNK"	"NAA25"	"Positive Genetic"
"CCNK"	"PPP2R1A"	"Negative Genetic"
"CCNK"	"RTF1"	"Positive Genetic"
"CCNK"	"SKIV2L"	"Positive Genetic"
"CCNK"	"SNRPD3"	"Positive Genetic"
"CCNK"	"SRSF7"	"Positive Genetic"
"CCNK"	"TBCB"	"Positive Genetic"
"CCNK"	"ZNF574"	"Negative Genetic"
"CCT8"	"CCT8"	"Negative Genetic"
"CCT8"	"RPL35"	"Positive Genetic"
"CDC16"	"DARS"	"Positive Genetic"
"CDC16"	"DHODH"	"Negative Genetic"
"CDC16"	"LEO1"	"Negative Genetic"
"CDC16"	"NCBP1"	"Negative Genetic"
"CDC16"	"NEMF"	"Negative Genetic"
"CDC16"	"PPCS"	"Positive Genetic"
"CDC16"	"TCOF1"	"Negative Genetic"
"CDC23"	"CDC23"	"Negative Genetic"
"CDC23"	"CENPK"	"Negative Genetic"
"CDC23"	"CTNNBL1"	"Positive Genetic"
"CDC23"	"LEO1"	"Negative Genetic"
"CDC23"	"NFYC"	"Negative Genetic"
"CDC23"	"POLN"	"Negative Genetic"
"CDC23"	"WDR61"	"Negative Genetic"
"CDC26"	"MRPL11"	"Positive Genetic"
"CDC27"	"CDC27"	"Negative Genetic"
"CDC27"	"CENPK"	"Negative Genetic"
"CDC27"	"CENPW"	"Negative Genetic"
"CDC27"	"EIF3H"	"Negative Genetic"
"CDC27"	"GFI1B"	"Negative Genetic"
"CDC27"	"GTF3C3"	"Negative Genetic"
"CDC27"	"LEO1"	"Negative Genetic"
"CDC27"	"POLN"	"Negative Genetic"
"CDC27"	"SKA3"	"Negative Genetic"
"CDC27"	"SNAPC1"	"Positive Genetic"
"CDC27"	"WDR61"	"Negative Genetic"
"CDC27"	"XRN2"	"Negative Genetic"
"CDC40"	"CTNNBL1"	"Positive Genetic"
"CDC40"	"EIF4G2"	"Positive Genetic"
"CDC40"	"MFAP1"	"Negative Genetic"
"CDC40"	"PPP2R1A"	"Negative Genetic"
"CDC40"	"SNAPC1"	"Positive Genetic"
"CDC40"	"XRN2"	"Negative Genetic"
"CDC73"	"LEO1"	"Negative Genetic"
"CDC73"	"MED14"	"Positive Genetic"
"CDC73"	"PSMB6"	"Positive Genetic"
"CDC73"	"UBA2"	"Positive Genetic"
"CDCA8"	"CENPM"	"Negative Genetic"
"CDCA8"	"EIF3C"	"Negative Genetic"
"CDCA8"	"FAM208A"	"Negative Genetic"
"CDCA8"	"MED14"	"Positive Genetic"
"CDCA8"	"NUDC"	"Negative Genetic"
"CDCA8"	"NUP43"	"Positive Genetic"
"CDCA8"	"SCYL1"	"Negative Genetic"
"CDCA8"	"SSB"	"Negative Genetic"
"CDCA8"	"TCOF1"	"Negative Genetic"
"CDCA8"	"TUBB"	"Negative Genetic"
"CDCA8"	"UBA2"	"Negative Genetic"
"CDK1"	"CDK1"	"Negative Genetic"
"CDK1"	"CKAP5"	"Positive Genetic"
"CDK1"	"COPE"	"Positive Genetic"
"CDK1"	"EBNA1BP2"	"Positive Genetic"
"CDK1"	"GEMIN4"	"Positive Genetic"
"CDK1"	"GPN3"	"Positive Genetic"
"CDK1"	"GTF2E1"	"Positive Genetic"
"CDK1"	"LEO1"	"Negative Genetic"
"CDK1"	"MFAP1"	"Negative Genetic"
"CDK1"	"MINOS1"	"Negative Genetic"
"CDK1"	"MRPS23"	"Positive Genetic"
"CDK1"	"PELO"	"Negative Genetic"
"CDK1"	"PSMD1"	"Positive Genetic"
"CDK1"	"SGOL1"	"Negative Genetic"
"CDK1"	"TUBB"	"Negative Genetic"
"CDK12"	"CDK12"	"Negative Genetic"
"CDK12"	"CHMP2A"	"Negative Genetic"
"CDK12"	"EXOSC2"	"Negative Genetic"
"CDK12"	"FDPS"	"Negative Genetic"
"CDK12"	"GNL3L"	"Negative Genetic"
"CDK12"	"INTS5"	"Positive Genetic"
"CDK12"	"LEO1"	"Negative Genetic"
"CDK12"	"LIAS"	"Positive Genetic"
"CDK12"	"MAX"	"Positive Genetic"
"CDK12"	"MED1"	"Negative Genetic"
"CDK12"	"PPP2R1A"	"Negative Genetic"
"CDK12"	"PSMD1"	"Negative Genetic"
"CDK12"	"TBCB"	"Positive Genetic"
"CDK12"	"TIMM23B"	"Positive Genetic"
"CENPK"	"CENPK"	"Negative Genetic"
"CENPK"	"CENPM"	"Negative Genetic"
"CENPK"	"CEP192"	"Positive Genetic"
"CENPK"	"CEP63"	"Negative Genetic"
"CENPK"	"COPS4"	"Negative Genetic"
"CENPK"	"COPS5"	"Negative Genetic"
"CENPK"	"CSTF3"	"Negative Genetic"
"CENPK"	"CEP295"	"Negative Genetic"
"CENPK"	"LEO1"	"Negative Genetic"
"CENPK"	"LUC7L3"	"Negative Genetic"
"CENPK"	"NUP43"	"Negative Genetic"
"CENPK"	"PAFAH1B1"	"Negative Genetic"
"CENPK"	"PHF5A"	"Negative Genetic"
"CENPK"	"PMF1"	"Negative Genetic"
"CENPK"	"PMPCB"	"Positive Genetic"
"CENPK"	"PPP2R1A"	"Negative Genetic"
"CENPK"	"PPWD1"	"Negative Genetic"
"CENPK"	"PSMD12"	"Positive Genetic"
"CENPK"	"PTTG1"	"Positive Genetic"
"CENPK"	"RTF1"	"Negative Genetic"
"CENPK"	"SGOL1"	"Negative Genetic"
"CENPK"	"SKA3"	"Negative Genetic"
"CENPK"	"SRSF7"	"Negative Genetic"
"CENPK"	"TBC1D31"	"Negative Genetic"
"CENPK"	"TRA2B"	"Negative Genetic"
"CENPK"	"VPS72"	"Negative Genetic"
"CENPK"	"WDR61"	"Negative Genetic"
"CENPK"	"ZWINT"	"Negative Genetic"
"CENPM"	"CEP63"	"Negative Genetic"
"CENPM"	"COPS4"	"Negative Genetic"
"CENPM"	"COPS5"	"Negative Genetic"
"CENPM"	"DICER1"	"Negative Genetic"
"CENPM"	"EIF4G2"	"Positive Genetic"
"CENPM"	"ELP4"	"Negative Genetic"
"CENPM"	"GFI1B"	"Negative Genetic"
"CENPM"	"INTS5"	"Negative Genetic"
"CENPM"	"CEP295"	"Negative Genetic"
"CENPM"	"LEO1"	"Negative Genetic"
"CENPM"	"MBTPS2"	"Negative Genetic"
"CENPM"	"METAP2"	"Negative Genetic"
"CENPM"	"MFAP1"	"Negative Genetic"
"CENPM"	"MRPL19"	"Negative Genetic"
"CENPM"	"NUP43"	"Negative Genetic"
"CENPM"	"NUP54"	"Negative Genetic"
"CENPM"	"PAFAH1B1"	"Negative Genetic"
"CENPM"	"PMF1"	"Negative Genetic"
"CENPM"	"PPP2R1A"	"Negative Genetic"
"CENPM"	"RTF1"	"Negative Genetic"
"CENPM"	"SGOL1"	"Negative Genetic"
"CENPM"	"SKA3"	"Negative Genetic"
"CENPM"	"SLC39A9"	"Negative Genetic"
"CENPM"	"SNAPC1"	"Positive Genetic"
"CENPM"	"TAF2"	"Negative Genetic"
"CENPM"	"TRA2B"	"Negative Genetic"
"CENPM"	"WDR61"	"Negative Genetic"
"CENPM"	"ZWINT"	"Negative Genetic"
"CENPP"	"EIF4G2"	"Positive Genetic"
"CENPP"	"IARS"	"Negative Genetic"
"CENPP"	"LTN1"	"Negative Genetic"
"CENPP"	"PSMD4"	"Positive Genetic"
"CENPP"	"UBA2"	"Positive Genetic"
"CENPW"	"CENPW"	"Negative Genetic"
"CENPW"	"CEP63"	"Negative Genetic"
"CENPW"	"PMF1"	"Negative Genetic"
"CENPW"	"POLN"	"Negative Genetic"
"CENPW"	"SGOL1"	"Negative Genetic"
"CENPW"	"SKA3"	"Negative Genetic"
"CENPW"	"TRNAU1AP"	"Negative Genetic"
"CENPW"	"ZWINT"	"Negative Genetic"
"CEP152"	"CEP152"	"Positive Genetic"
"CEP152"	"CEP295"	"Positive Genetic"
"CEP152"	"MRPL22"	"Negative Genetic"
"CEP152"	"PAFAH1B1"	"Negative Genetic"
"CEP152"	"RPL36A"	"Negative Genetic"
"CEP152"	"SGOL1"	"Negative Genetic"
"CEP152"	"SRSF7"	"Negative Genetic"
"CEP152"	"ZNF574"	"Negative Genetic"
"CEP192"	"CEP192"	"Negative Genetic"
"CEP192"	"GNL3L"	"Negative Genetic"
"CEP192"	"RPL36A"	"Negative Genetic"
"CEP192"	"SEH1L"	"Negative Genetic"
"CEP192"	"TUBB"	"Negative Genetic"
"CEP192"	"ZCCHC9"	"Negative Genetic"
"CEP63"	"CEP63"	"Negative Genetic"
"CEP63"	"NAA50"	"Negative Genetic"
"CEP63"	"PPP2R1A"	"Negative Genetic"
"CEP63"	"SGOL1"	"Negative Genetic"
"CEP63"	"SKA3"	"Negative Genetic"
"CEP63"	"ZWINT"	"Positive Genetic"
"CHMP2A"	"EIF3D"	"Negative Genetic"
"CHMP2A"	"GNL3L"	"Negative Genetic"
"CHMP2A"	"LEO1"	"Negative Genetic"
"CHMP2A"	"LTN1"	"Negative Genetic"
"CHMP2A"	"MRPS5"	"Negative Genetic"
"CHMP2A"	"NUDC"	"Negative Genetic"
"CHMP2A"	"PELO"	"Negative Genetic"
"CHMP2A"	"GATB"	"Negative Genetic"
"CHMP2A"	"SCYL1"	"Negative Genetic"
"CHMP2A"	"UBA2"	"Positive Genetic"
"CHMP2A"	"WDR61"	"Negative Genetic"
"CHMP2A"	"WDR7"	"Negative Genetic"
"CHMP2A"	"XRN2"	"Negative Genetic"
"CHMP2A"	"ZNF574"	"Negative Genetic"
"CIRH1A"	"EXOSC2"	"Negative Genetic"
"CIRH1A"	"MFAP1"	"Negative Genetic"
"CIRH1A"	"RPL35"	"Positive Genetic"
"CIRH1A"	"SRFBP1"	"Negative Genetic"
"CIRH1A"	"XRN2"	"Negative Genetic"
"CIRH1A"	"ZCCHC9"	"Negative Genetic"
"CIT"	"EIF3H"	"Negative Genetic"
"CIT"	"ERH"	"Negative Genetic"
"CIT"	"HBS1L"	"Negative Genetic"
"CIT"	"INTS5"	"Positive Genetic"
"CIT"	"MBTPS2"	"Negative Genetic"
"CIT"	"MFAP1"	"Negative Genetic"
"CIT"	"PDCD7"	"Positive Genetic"
"CIT"	"PFAS"	"Negative Genetic"
"CIT"	"POLN"	"Positive Genetic"
"CIT"	"PPP2R1A"	"Negative Genetic"
"CIT"	"PTCD1"	"Negative Genetic"
"CIT"	"SCO1"	"Negative Genetic"
"CIT"	"SEC22B"	"Negative Genetic"
"CIT"	"SRFBP1"	"Negative Genetic"
"CIT"	"TCF25"	"Negative Genetic"
"CIT"	"TCOF1"	"Negative Genetic"
"CIT"	"VPS72"	"Negative Genetic"
"CIT"	"XRN2"	"Negative Genetic"
"CIT"	"ZNF574"	"Negative Genetic"
"CKAP5"	"CKAP5"	"Negative Genetic"
"CKAP5"	"CTNNBL1"	"Positive Genetic"
"CKAP5"	"ELP4"	"Negative Genetic"
"CKAP5"	"LEO1"	"Negative Genetic"
"CKAP5"	"MBTPS2"	"Negative Genetic"
"CKAP5"	"METAP2"	"Negative Genetic"
"CKAP5"	"MFAP1"	"Negative Genetic"
"CKAP5"	"NUDC"	"Negative Genetic"
"CKAP5"	"PELO"	"Negative Genetic"
"CKAP5"	"PPCS"	"Positive Genetic"
"CKAP5"	"SNRPD3"	"Negative Genetic"
"CKAP5"	"UBA2"	"Negative Genetic"
"CLSPN"	"HUS1"	"Negative Genetic"
"CMAS"	"GFI1B"	"Positive Genetic"
"CMAS"	"GTF2E1"	"Negative Genetic"
"CMAS"	"LEO1"	"Negative Genetic"
"CMAS"	"MBTPS2"	"Negative Genetic"
"CMAS"	"MED23"	"Negative Genetic"
"CMAS"	"MTOR"	"Negative Genetic"
"CMAS"	"NUDC"	"Negative Genetic"
"CMAS"	"PPP2R2A"	"Positive Genetic"
"CMAS"	"VPS29"	"Negative Genetic"
"CMAS"	"VPS72"	"Negative Genetic"
"CMAS"	"WDR7"	"Negative Genetic"
"CMAS"	"ZNHIT6"	"Negative Genetic"
"CNOT1"	"CTNNBL1"	"Positive Genetic"
"CNOT1"	"CTNNBL1"	"Negative Genetic"
"CNOT1"	"GFI1B"	"Positive Genetic"
"CNOT1"	"LEO1"	"Negative Genetic"
"CNOT1"	"MAX"	"Positive Genetic"
"CNOT1"	"MED28"	"Positive Genetic"
"CNOT1"	"PDRG1"	"Negative Genetic"
"CNOT1"	"PSMD12"	"Positive Genetic"
"CNOT1"	"PSPH"	"Negative Genetic"
"CNOT1"	"SNAPC1"	"Positive Genetic"
"CNOT1"	"TIMM22"	"Positive Genetic"
"CNOT1"	"UBA2"	"Positive Genetic"
"CNOT1"	"ZNF598"	"Positive Genetic"
"COA3"	"COA3"	"Positive Genetic"
"COA3"	"CTNNBL1"	"Positive Genetic"
"COA3"	"FAM208A"	"Negative Genetic"
"COA3"	"MBTPS2"	"Positive Genetic"
"COA3"	"MBTPS2"	"Negative Genetic"
"COA3"	"PPCS"	"Positive Genetic"
"COA3"	"TAZ"	"Negative Genetic"
"COG3"	"COG3"	"Negative Genetic"
"COG3"	"LEO1"	"Negative Genetic"
"COG3"	"NOL8"	"Negative Genetic"
"COG3"	"NUDC"	"Negative Genetic"
"COG3"	"PPP2R1A"	"Negative Genetic"
"COG3"	"RTF1"	"Negative Genetic"
"COG3"	"SCYL1"	"Negative Genetic"
"COG3"	"SEC22B"	"Negative Genetic"
"COG3"	"SLC35A1"	"Negative Genetic"
"COG3"	"WDR7"	"Negative Genetic"
"COPA"	"DUT"	"Positive Genetic"
"COPA"	"EIF3C"	"Positive Genetic"
"COPA"	"NUBP1"	"Positive Genetic"
